title,license,access_level,keywords,last_validation_date,update_frequency,last_update_date,last_update_location,over_due_frequency_ratio,num_hosted_data_files,num_linked_data_files,num_supporting_files,organization,groups,as_of
2011 average truck travel speed and performance indices,License Not Specified,restricted,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
2011 census geocoding of place of work and place of residence,License Not Specified,restricted,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
2011 National Household Survey - labour force characteristics census metropolitan area and census agglomeration by industry and occupation,License Not Specified,under_review,"Economy and Business, Government",2017-01-20,other,,,,0,0,0,"Economic Development, Job Creation and Trade",,2020-09-10
2012 - 2015 average car travel speed and performance indices,License Not Specified,under_review,"Infrastructure and Transportation, Driving and roads",2017-04-03,yearly,,,,0,0,0,Transportation,,2020-09-10
2012 Canadian Survey on Disability data tables,License Not Specified,under_review,"Economy and Business, Government and Finance, Government",2017-01-20,other,,,,0,0,0,"Economic Development, Job Creation and Trade",,2020-09-10
2012 Commercial Vehicle Survey Data (Commercial vehicle flows assigned to road network),License Not Specified,under_review,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
2012 Commercial Vehicle Survey Data - Equivalent single axle load,License Not Specified,under_review,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
2012 Commercial Vehicle Survey - Traffic volumes at survey stations,License Not Specified,under_review,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
2013 average truck travel speed and performance indices,License Not Specified,restricted,"Infrastructure and Transportation, Driving and roads",2017-04-03,yearly,,,,0,0,0,Transportation,,2020-09-10
2013 Forensic Identification Officer Survey,License Not Specified,under_review,"Justice and Public Safety, Government",2017-02-01,other,,,,0,0,0,Solicitor General,,2020-09-10
2013 National Graduate Survey,License Not Specified,restricted,"Education and Training, Education and training",2016-11-17,as_required,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
2014-2015 average truck travel speed and performance indices,License Not Specified,restricted,"Infrastructure and Transportation, Driving and roads",2017-04-03,yearly,,,,0,0,0,Transportation,,2020-09-10
2015-2016 Northern Industrial Electricity Rate program rebate amounts,License Not Specified,restricted,"Economy and Business, Environment and Natural Resources, Rural and north",2016-10-13,monthly,,,,0,0,0,"Energy, Northern Development and Mines",,2020-09-10
2015 co-ordinated land use planning review submissions tracking,License Not Specified,restricted,"Housing Communities and Social Support, Economy and Business, Home and community",2017-01-05,other,,,,0,0,0,Municipal Affairs and Housing,,2020-09-10
2015 licensed child care survey,License Not Specified,restricted,"Housing Communities and Social Support, Education and Training, Government",2017-02-22,other,,,,0,0,0,Education,,2020-09-10
407 Express Toll Route (ETR) traffic and revenue data,License Not Specified,restricted,"Infrastructure and Transportation, Driving and roads",2017-04-03,quarterly,,,,0,0,0,Transportation,,2020-09-10
90 day storage compliance follow up tracking,License Not Specified,restricted,"Environment and Natural Resources, Government",2017-01-31,yearly,,,,0,0,0,"Environment, Conservation and Parks",,2020-09-10
Our land – healthy – vibrant – valued: A natural heritage system for Prince Edward County and neighbouring communities,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Environment and energy",2015-04-30,other,,,,0,2,0,Natural Resources and Forestry,,2020-09-10
"Sustaining what we value: A natural heritage system for the Frontenac, Lanark, Leeds & Grenville area of eastern Ontario",Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Government",2020-08-26,other,,,,0,2,0,Natural Resources and Forestry,,2020-09-10
Aamjiwnaang First Nation hourly volatile organic compound (VOC) Data,License Not Specified,under_review,"Environment and Natural Resources, Government",2017-01-31,quarterly,,,,0,0,0,"Environment, Conservation and Parks",,2020-09-10
Abandoned airports,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Travel and recreation",2015-04-29,as_required,2015-04-30,external_link,,0,2,0,Natural Resources and Forestry,,2020-09-10
Abandoned Mines information,Queen's Printer for Ontario,open,"Economy and Business, Environment and Natural Resources, Environment and energy",2016-10-13,as_required,,,,0,1,0,"Energy, Northern Development and Mines",,2020-09-10
Aboriginal Participation Fund Grants Ontario system,License Not Specified,under_review,"Housing Communities and Social Support, Economy and Business, Environment and Natural Resources, Government",2016-10-17,as_required,,,,0,0,0,"Energy, Northern Development and Mines",,2020-09-10
Academic Standards & Evaluation Certification Database,License Not Specified,restricted,"Justice and Public Safety, Education and Training, Education and training",2017-02-01,as_required,,,,0,0,0,Solicitor General,,2020-09-10
Access to Care (ATC) Surgical Efficiency Target Program (SETP) data,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Access to corporate and ministry-specific applications,License Not Specified,under_review,"Government and Finance, Government",2016-08-03,monthly,,,,0,0,0,Treasury Board Secretariat,,2020-09-10
Access to the internal government network,License Not Specified,under_review,"Government and Finance, Government",2016-08-03,monthly,,,,0,0,0,Treasury Board Secretariat,,2020-09-10
Accessibility for Ontarians with Disabilities Act (AODA) Compliance Assurance Tracking System (ACATS),License Not Specified,restricted,"Economy and Business, Government",2016-10-19,other,,,,0,0,0,"Economic Development, Job Creation and Trade",,2020-09-10
Accountability agreement indicators for oral health assessment and surveillance protocol,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
AccuTrust tracking system,License Not Specified,restricted,"Justice and Public Safety, Government",2016-10-14,other,,,,0,0,0,Attorney General,,2020-09-10
Achieving excellence in applied courses,License Not Specified,under_review,"Education and Training, Government",2017-02-22,as_required,,,,0,0,0,Education,,2020-09-10
Active co-operatives in Ontario,Queen's Printer for Ontario,open,"Economy and Business, Government and Finance",,,,,,0,2,0,Government and Consumer Services,,2020-09-10
Active email accounts,License Not Specified,under_review,"Government and Finance, Government",2016-08-03,yearly,,,,0,0,0,Treasury Board Secretariat,,2020-09-10
Activity reports of the Ottawa model for undiagnosed diabetes,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,quarterly,,,,0,0,0,Health,,2020-09-10
"Actual traffic offences reported, by type of offence, Ontario Provincial Police only",License Not Specified,under_review,"Justice and Public Safety, Law and safety",2017-02-01,yearly,,,,0,0,0,Solicitor General,,2020-09-10
Addictions services initiative collection tool (ACT),License Not Specified,restricted,"Housing Communities and Social Support, Health, Government",2016-10-13,other,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Adhesive Tape Records (Chemistry),License Not Specified,under_review,"Justice and Public Safety, Government",2017-02-01,as_required,,,,0,0,0,Solicitor General,,2020-09-10
Adjustment Advisory Program (AAP): Labour/community adjustment committee data,License Not Specified,under_review,"Education and Training, Jobs and employment",2016-11-17,other,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
Adjustment Advisory Program (AAP): Sectoral adjustment committee data,License Not Specified,under_review,"Education and Training, Jobs and employment",2016-11-17,other,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
Admissions to the Youth Justice System: admission type ,Open Government Licence – Ontario,open,"Justice and Public Safety, Housing Communities and Social Support, Government",2016-04-01,as_required,2016-04-01,external_link,,0,1,1,"Children, Community and Social Services",,2020-09-10
Admissions to the Youth Justice System: Most Serious Offence,Open Government Licence – Ontario,open,"Justice and Public Safety, Housing Communities and Social Support, Law and safety",2015-04-29,yearly,2015-04-29,external_link,4.36986301369863,0,2,1,"Children, Community and Social Services",,2020-09-10
Adopt-a-Highway - Northwestern Region,License Not Specified,under_review,"Infrastructure and Transportation, Driving and roads",2017-04-03,as_required,,,,0,0,0,Transportation,,2020-09-10
Adoption Crown Ward database,License Not Specified,restricted,"Housing Communities and Social Support, Law and safety",2016-10-21,other,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Adoption homestudies and homestudy waiting lists,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Government",2015-04-30,yearly,2015-04-30,external_link,4.367123287671233,0,3,5,"Children, Community and Social Services",,2020-09-10
Adoption openness arrangements,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Home and community",2015-04-30,as_required,2015-04-30,external_link,,0,2,1,"Children, Community and Social Services",,2020-09-10
Adoptions and Crown Wards data,License Not Specified,restricted,"Housing Communities and Social Support, Law and safety",2016-12-21,other,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Adult non-credit ESL/FSL learner survey data,License Not Specified,restricted,"Housing Communities and Social Support, Education and Training, Education and training",2017-01-05,yearly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Adult non-credit second language program grants,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Education and Training, Jobs and employment",2017-01-06,yearly,2017-01-06,external_link,2.6794520547945204,0,2,0,"Children, Community and Social Services",,2020-09-10
Advanced Access and Efficiency (AAE) initiative data,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
Advanced Manufacturing Investment Strategy (AMIS) grant recipients,Open Government Licence – Ontario,open,"Economy and Business, Government",2017-09-11,never,2017-09-11,external_link,,0,2,2,"Economic Development, Job Creation and Trade",,2020-09-10
Advanced Manufacturing Investment Strategy financial summary,License Not Specified,restricted,"Economy and Business, Government and Finance, Business and economy",2017-01-20,as_required,,,,0,0,0,"Economic Development, Job Creation and Trade",,2020-09-10
Advertising Review Board Vendor of Record Arrangements,Open Government Licence – Ontario,open,"Government and Finance, Business and economy",2018-05-17,as_required,2018-05-17,external_link,,0,8,0,Government and Consumer Services,,2020-09-10
Aerial photography and photogrammetric mapping index,Open Government Licence – Ontario,open,"Infrastructure and Transportation, Driving and roads",2019-03-15,yearly,2019-03-15,external_link,0.4904109589041096,0,2,0,Transportation,,2020-09-10
Age-Friendly Community Planning Grant Program approved projects,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Home and community",2018-02-23,other,2018-02-23,external_link,,0,2,0,Seniors and Accessibility,,2020-09-10
Agency medically fragile and/or technology dependent clients expenditure report - Central Region,License Not Specified,under_review,"Housing Communities and Social Support, Health and wellness",2016-12-22,monthly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Agency Tribunal Relations Division - communications database: MPP requests,License Not Specified,under_review,"Justice and Public Safety, Law and safety",2016-10-14,as_required,,,,0,0,0,Attorney General,,2020-09-10
Agency Tribunal Relations Division’s communications database: media correspondence statistics,License Not Specified,under_review,"Justice and Public Safety, Law and safety",2016-10-14,as_required,,,,0,0,0,Attorney General,,2020-09-10
Agency Tribunal Relations Division’s communications database: media requests,License Not Specified,under_review,"Justice and Public Safety, Law and safety",2016-10-14,as_required,,,,0,0,0,Attorney General,,2020-09-10
Agency Tribunal Relations Division’s communications database: stakeholder meetings,License Not Specified,under_review,"Justice and Public Safety, Law and safety",2016-10-14,as_required,,,,0,0,0,Attorney General,,2020-09-10
Aggregate Designated Area,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Environment and energy",2020-06-05,as_required,2017-10-26,external_link,,0,2,0,Natural Resources and Forestry,,2020-09-10
Aggregate Inspector Jurisdiction,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Environment and energy",2020-06-05,other,2020-01-30,external_link,,0,2,0,Natural Resources and Forestry,,2020-09-10
Aggregate Resources index,Ministry Terms of Use,open,"Economy and Business, Environment and Natural Resources, Rural and north",2012-10-10,as_required,2012-10-10,external_link,,0,1,0,"Energy, Northern Development and Mines",,2020-09-10
Aggregate Site Authorized,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Environment and energy",2020-07-17,as_required,2013-07-02,external_link,,0,6,0,Natural Resources and Forestry,,2020-09-10
Aggregate source testing data,License Not Specified,restricted,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
Aggregated asparagus production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated beans production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated beets production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated broccoli production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated cabbage production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated carrots production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated cauliflower production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated celery production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated cucumber production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated dry onion production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated green peas production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated mushroom production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated Ontario greenhouse vegetable production ,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Government",2016-04-11,yearly,2016-04-11,external_link,3.419178082191781,0,6,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated pepper production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated pumpkin production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-03-09,yearly,2017-03-09,external_link,2.5095890410958903,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated radishes production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated rutabagas production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated spinach production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated sweetcorn production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Aggregated tomato production and yields,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,yearly,2017-01-24,external_link,2.6301369863013697,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Agreement expiry dates,License Not Specified,under_review,"Education and Training, Economy and Business, Government",2016-08-03,other,,,,0,0,0,Labour,,2020-09-10
Agreement start dates,License Not Specified,under_review,"Education and Training, Economy and Business, Government",2016-08-03,other,,,,0,0,0,Labour,,2020-09-10
Agricultural investigation and regulatory compliance cases,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-24,quarterly,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Agricultural organizations,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-23,as_required,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Agricultural resource inventory,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Rural and north",2015-04-30,as_required,2015-04-30,external_link,,0,1,0,Agriculture Food and Rural Affairs,,2020-09-10
Agricultural tile drainage contractors,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Government",2016-04-27,other,2016-04-27,external_link,,0,1,2,Agriculture Food and Rural Affairs,,2020-09-10
AgriInvest/AgriStability participation trends,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-24,yearly,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
AgriStability program fees,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-24,yearly,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
AgriStability Program interim payments,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-24,other,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
AgriStability program participant eligibility,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-24,other,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
AgriStability program participation,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-24,other,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
AgriStability reference margin trends,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-24,yearly,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
AIDS bureau locations,Open Government Licence – Ontario,open,"Health, Home and community",2020-04-05,yearly,2020-04-05,external_link,,0,2,0,Health,2019 Novel Coronavirus,2020-09-10
Air quality monitoring network,License Not Specified,under_review,"Environment and Natural Resources, Environment and energy",2017-01-31,yearly,,,,0,0,0,"Environment, Conservation and Parks",,2020-09-10
Air quality stations,Open Government Licence – Ontario,open,"Environment and Natural Resources, Environment and energy",2020-06-19,as_required,2020-06-19,external_link,,0,1,1,"Environment, Conservation and Parks",,2020-09-10
Aleutian Disease (AD) surveillance on mink farms,License Not Specified,restricted,"Agriculture and Food, Economy and Business, Health and wellness",2017-01-24,yearly,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Algae monitoring,License Not Specified,under_review,"Environment and Natural Resources, Environment and energy",2017-01-31,other,,,,0,0,0,"Environment, Conservation and Parks",,2020-09-10
Algonquin to Adirondack landscape analysis,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Environment and energy",2015-04-30,as_required,2015-04-30,external_link,,0,1,0,Natural Resources and Forestry,,2020-09-10
All public appointments since September 2011,License Not Specified,under_review,"Government and Finance, Government",2016-08-03,other,,,,0,0,0,Treasury Board Secretariat,,2020-09-10
All road closures 2008 to present - West Region,License Not Specified,under_review,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
Alternative dispute resolution ,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Government",2016-04-01,as_required,2016-04-01,external_link,,0,2,1,"Children, Community and Social Services",,2020-09-10
Alternative Education Resources for Ontario (AERO) database,License Not Specified,restricted,"Housing Communities and Social Support, Education and Training, Education and training",2017-02-22,as_required,,,,0,0,0,Education,,2020-09-10
Alternative Financing and Procurement (AFP) projects,License Not Specified,under_review,"Government and Finance, Infrastructure and Transportation, Government",2017-01-20,as_required,,,,0,0,0,Infrastructure,,2020-09-10
Ambient Groundwater Geochemistry data for southwestern Ontario,Ministry Terms of Use,open,"Economy and Business, Environment and Natural Resources, Rural and north",2012-10-10,as_required,2012-10-10,external_link,,0,1,0,"Energy, Northern Development and Mines",,2020-09-10
Ambulance Dispatch Reporting System (ADRS) data,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Ambulatory Oncology Patient Satisfaction Survey (AOPSS),License Not Specified,restricted,"Health, Health and wellness",2018-07-26,quarterly,,,,0,0,0,Health,,2020-09-10
"Amendments, Changes of Name and Adoptions",Open Government Licence – Ontario,open,"Government and Finance, Home and community",2020-07-21,yearly,2020-07-21,hosted,,1,0,0,Government and Consumer Services,,2020-09-10
Analysis of Regional Wood Supply,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Environment and energy",2019-10-22,yearly,2019-10-22,external_link,,0,8,2,Natural Resources and Forestry,,2020-09-10
Analytical tables derived from the Family Responsibility Office Case Management System/Maintenance Enforcement Computer Assistance (FCMS/MECA),License Not Specified,restricted,"Housing Communities and Social Support, Government",2016-10-13,monthly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Animal Hair Exemplars (Chemistry),License Not Specified,under_review,"Justice and Public Safety, Government",2017-02-01,as_required,,,,0,0,0,Solicitor General,,2020-09-10
Animal health incident reports,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Health and wellness",2017-01-23,as_required,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Animal Health Laboratory submissions and test results,License Not Specified,restricted,"Agriculture and Food, Economy and Business, Government",2017-01-24,other,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Announced projects: Rural Economic Development program,Open Government Licence – Ontario,open,"Agriculture and Food, Housing Communities and Social Support, Economy and Business, Business and economy",2018-10-30,yearly,2020-09-01,hosted,,1,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Annual concrete acceptance test summary,License Not Specified,restricted,"Infrastructure and Transportation, Driving and roads",2017-04-03,yearly,,,,0,0,0,Transportation,,2020-09-10
Annual fish interim audit results,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-23,yearly,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Annual forest fire reporting data,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Environment and energy",,yearly,,,,0,2,0,Natural Resources and Forestry,,2020-09-10
Annual granular material data,License Not Specified,restricted,"Infrastructure and Transportation, Driving and roads",2017-04-03,yearly,,,,0,0,0,Transportation,,2020-09-10
Annual minor capital investments,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Government and Finance, Government",2016-09-06,quarterly,2016-09-06,external_link,15.098901098901099,0,4,2,"Children, Community and Social Services",,2020-09-10
Annual Ontario Immigrant Nominee Program (OINP) nominations issued and applications received data,License Not Specified,under_review,"Housing Communities and Social Support, Government",2017-01-05,yearly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Annual regulatory registry usage,License Not Specified,under_review,"Economy and Business, Government",2017-01-20,yearly,,,,0,0,0,"Economic Development, Job Creation and Trade",,2020-09-10
Annual Repayment Limit (ARL),License Not Specified,under_review,"Housing Communities and Social Support, Government and Finance, Government",2017-01-06,yearly,,,,0,0,0,Municipal Affairs and Housing,,2020-09-10
Annual report of geological activity,License Not Specified,under_review,"Economy and Business, Environment and Natural Resources, Environment and energy",2016-10-13,monthly,,,,0,0,0,"Energy, Northern Development and Mines",,2020-09-10
Appeals related to health insurance eligibility and reimbursement,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Apple scab test participants,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Environment and energy",2015-04-30,other,2015-04-30,external_link,,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Applicants applying for a child care licence,License Not Specified,restricted,"Housing Communities and Social Support, Education and Training, Government",2017-02-22,other,,,,0,0,0,Education,,2020-09-10
Application details for out of province health services,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Applications for the Premier’s Award for Agri-Food Innovation,License Not Specified,restricted,"Agriculture and Food, Economy and Business, Government",2017-01-23,yearly,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Appointed veterinarians,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-23,as_required,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Apprentices who received loans for tools,License Not Specified,under_review,"Education and Training, Jobs and employment",2016-11-17,other,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
